Table 6-42:  Approach 2 Quantitative Uncertainty Estimates for Soil C Stock Changes occurring within Land Converted to Grassland (MMT CO2 Eq. and Percent),,,,,
,,,,,
Source,2014 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Cropland Converted to Grassland,-7.4,-16.3,1.4,-119%,119%
Mineral Soil C Stocks: Tier 3,-7.2,-15.9,1.6,-122%,122%
Mineral Soil C Stocks: Tier 2,-1.4,-2.2,-0.8,-55%,47%
Organic Soil C Stocks: Tier 2,1.2,0.4,2.3,-63%,96%
Forests Converted to Grassland,48.7,42.8,54.9,-12%,13%
Biomass C Stocks,49.5,43.7,55.6,-12%,12%
Mineral Soil C Stocks: Tier 2,-0.8,-1.8,0.1,-120%,112%
Organic Soil C Stocks: Tier 2,+ ,+,+,-100%,300%
Other Lands Converted to Grassland,-0.8,-1.3,-0.4,-55%,47%
Mineral Soil C Stocks: Tier 2,-0.8,-1.3,-0.4,-54%,46%
Organic Soil C Stocks: Tier 2,+,0,+,-100%,179%
Settlements Converted to Grassland,-0.1,-0.2,(+),-63%,56%
Mineral Soil C Stocks: Tier 2,-0.1,-0.2,-0.1,-55%,47%
Organic Soil C Stocks: Tier 2,+,+,+,-79%,125%
Wetlands Converted to Grasslands,0.1,-0.1,0.3,-314%,382%
Mineral Soil C Stocks: Tier 2,-0.2,-0.4,-0.1,-52%,44%
Organic Soil C Stocks: Tier 2,0.3,0.1,0.5,-51%,71%
Total: Land Converted to Grassland,40.4,29.8,51.2,-26%,27%
Biomass C Stocks,49.5,43.7,55.6,-12%,12%
Mineral Soil C Stocks: Tier 3,-7.2,-15.9,1.6,-122%,122%
Mineral Soil C Stocks: Tier 2,-3.4,-4.7,-2.2,-39%,35%
Organic Soil C Stocks: Tier 2,1.5,0.7,2.6,-50%,77%
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values.,,,,,
