Table 6-48:  Net C Flux from Urban Trees (MMT CO2 Eq. and MMT C),,,
,,,
,Year,MMT CO2 Eq.,MMT C
,1990,-60.4,-16.5
,1991,-61.9,-16.9
,1992,-63.3,-17.3
,1993,-64.7,-17.7
,1994,-66.2,-18.1
,1995,-67.6,-18.4
,1996,-69.1,-18.8
,1997,-70.5,-19.2
,1998,-72.0,-19.6
,1999,-73.4,-20.0
,2000,-74.9,-20.4
,2001,-76.0,-20.7
,2002,-77.2,-21.0
,2003,-78.3,-21.3
,2004,-79.4,-21.7
,2005,-80.5,-22
,2006,-81.6,-22.3
,2007,-82.8,-22.6
,2008,-83.9,-22.9
,2009,-85.0,-23.2
,2010,-86.1,-23.5
,2011,-87.3,-23.8
,2012,-88.4,-24.1
,2013,-89.5,-24.4
,2014,-90.6,-24.7
,Note:  Parentheses indicate net sequestration.,,
