"Table 6-49:  Annual C Sequestration (Metric Tons C/yr), Tree Cover (Percent), and Annual C Sequestration per Area of Tree Cover (kg C/m2-yr) for 50 states plus the District of Columbia (2014)",,,,,,,
,,,,,,,
,State,Gross Annual Sequestration,Net Annual Sequestration,Tree Cover,Gross Annual Sequestration per Area of Tree Cover,Net Annual Sequestration per Area of Tree Cover,Net: Gross Annual Sequestration Ratio
,Alabama,"1,165,574","862,524",55.2,0.343,0.254,0.74
,Alaska,"44,744","33,111",39.8,0.168,0.124,0.74
,Arizona,"385,644","285,376",17.6,0.354,0.262,0.74
,Arkansas,"424,922","314,443",42.3,0.331,0.245,0.74
,California,"2,106,024","1,558,458",25.1,0.389,0.288,0.74
,Colorado,"153,806","113,817",18.5,0.197,0.146,0.74
,Connecticut,"771,006","570,544",67.4,0.239,0.177,0.74
,Delaware,"136,070","100,692",35,0.335,0.248,0.74
,DC,"14,559","11,569",35,0.263,0.209,0.79
,Florida,"3,429,742","2,538,009",35.5,0.475,0.352,0.74
,Georgia,"2,580,659","1,909,688",54.1,0.353,0.261,0.74
,Hawaii,"246,168","182,164",39.9,0.581,0.43,0.74
,Idaho,"25,533","18,894",10,0.184,0.136,0.74
,Illinois,"760,263","562,594",25.4,0.283,0.209,0.74
,Indiana,"406,015","375,425",23.7,0.25,0.231,0.92
,Iowa,"119,006","88,064",19,0.24,0.178,0.74
,Kansas,"186,077","144,799",25,0.283,0.22,0.78
,Kentucky,"243,641","180,295",22.1,0.286,0.212,0.74
,Louisiana,"749,632","554,727",34.9,0.397,0.294,0.74
,Maine,"108,092","79,988",52.3,0.221,0.164,0.74
,Maryland,"597,897","442,444",34.3,0.323,0.239,0.74
,Massachusetts,"1,309,649","969,140",65.1,0.254,0.188,0.74
,Michigan,"740,048","547,635",35,0.22,0.163,0.74
,Minnesota,"354,139","262,063",34,0.229,0.169,0.74
,Mississippi,"494,558","365,973",47.3,0.344,0.255,0.74
,Missouri,"498,925","369,205",31.5,0.285,0.211,0.74
,Montana,"53,940","39,916",36.3,0.184,0.136,0.74
,Nebraska,"50,920","42,970",15,0.238,0.201,0.84
,Nevada,"44,096","32,631",9.6,0.207,0.153,0.74
,New Hampshire,"250,531","185,393",66,0.217,0.161,0.74
,New Jersey,"1,201,070","888,792",53.3,0.294,0.218,0.74
,New Mexico,"70,002","51,801",12,0.263,0.195,0.74
,New York,"1,096,654","811,524",42.6,0.24,0.178,0.74
,North Carolina,"2,076,636","1,536,711",51.1,0.312,0.231,0.74
,North Dakota,"14,946","7,102",13,0.223,0.106,0.48
,Ohio,"927,316","686,214",31.5,0.248,0.184,0.74
,Oklahoma,"366,160","270,959",31.2,0.332,0.246,0.74
,Oregon,"261,067","193,190",36.6,0.242,0.179,0.74
,Pennsylvania,"1,264,702","935,879",41,0.244,0.181,0.74
,Rhode Island,"137,147","101,489",51,0.258,0.191,0.74
,South Carolina,"1,107,882","819,832",48.9,0.338,0.25,0.74
,South Dakota,"21,348","18,513",14,0.236,0.205,0.87
,Tennessee,"1,063,362","950,771",43.8,0.303,0.271,0.89
,Texas,"2,808,539","2,078,319",31.4,0.368,0.272,0.74
,Utah,"91,713","67,868",16.4,0.215,0.159,0.74
,Vermont,"46,571","34,462",53,0.213,0.158,0.74
,Virginia,"839,610","621,311",39.8,0.293,0.217,0.74
,Washington,"571,062","422,586",34.6,0.258,0.191,0.74
,West Virginia,"255,369","188,973",61,0.241,0.178,0.74
,Wisconsin,"364,611","269,812",31.8,0.225,0.167,0.74
,Wyoming,"19,203","14,210",19.9,0.182,0.135,0.74
,Total,"33,056,852","24,712,872",,,,
