"Table 6-5:  Emissions and Removals (Flux) from Land Use, Land-Use Change, and Forestry by Gas (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Net CO2 Fluxa,"-752,993","-755,152","-757,710","-740,105","-762,605","-713,826","-721,188","-708,617","-696,655","-705,001","-708,190","-701,480","-695,128","-700,577","-711,220","-726,692","-744,880","-723,651","-712,440","-756,212","-784,268","-784,882","-782,024","-783,680","-787,045"
,Forest Land Remaining Forest Landb,"-723,536","-729,439","-726,144","-727,954","-718,484","-707,396","-693,929","-686,928","-686,883","-686,950","-657,812","-658,933","-658,322","-672,523","-673,284","-691,873","-698,676","-682,235","-667,423","-712,281","-742,040","-736,690","-735,837","-739,112","-742,328"
,Land Converted to Forest Land,-677,-743,-696,-819,-853,-950,-923,-977,-973,"-1,074",-996,-989,-878,-878,-825,-819,-407,-411,-382,-369,-374,-372,-352,-350,-349
,Cropland Remaining Cropland,"-34,326","-36,229","-38,180","-17,014","-28,323","-22,315","-29,727","-27,923","-13,741","-26,796","-31,790","-30,608","-21,627","-11,528","-14,825","-14,116","-13,801","-14,723","-6,505","1,450","1,787","-12,484","-11,179","-9,273","-8,428"
,Land Converted to Cropland,"65,710","64,032","63,171","59,631","53,818","63,383","59,381","59,721","51,662","49,393","44,152","42,618","40,700","37,403","33,087","32,168","31,422","24,783","24,950","22,908","23,695","21,601","22,048","22,097","22,104"
,Grassland Remaining Grassland,"-12,865","-3,662","-5,096","-4,989","-20,882","-4,241","-12,798","-6,340","-10,260",-855,"-16,558","-6,246","-5,691","-4,199","-5,215","-3,254","-12,526","2,970","-6,764","-8,923","-7,315","3,112","3,552","3,769","3,772"
,Land Converted to Grassland,"39,083","37,184","36,463","36,772","36,879","40,757","39,335","37,310","47,227","46,839","43,018","42,046","41,374","41,178","40,452","43,087","42,088","39,384","38,241","38,517","39,308","39,859","40,358","40,380","40,383"
,Settlements Remaining Settlements,"-60,408","-61,854","-63,301","-64,748","-66,195","-67,641","-69,088","-70,535","-71,982","-73,428","-74,918","-76,039","-77,160","-78,281","-79,402","-80,523","-81,645","-82,766","-83,887","-85,008","-86,129","-87,250","-88,372","-89,493","-90,614"
,Other: Landfilled Yard Trimmings and Food Scraps,"-25,975","-24,440","-23,927","-20,984","-18,565","-15,422","-13,439","-12,944","-11,706","-12,129","-13,286","-13,328","-13,526","-11,749","-11,209","-11,360","-11,336","-10,654","-10,669","-12,506","-13,200","-12,659","-12,242","-11,698","-11,585"
,CO2,"8,139","8,297","7,795","7,418","7,767","8,103","7,853","8,043","8,791","8,672","8,812","9,004","9,583","9,274","8,706","8,955","8,765","9,250","9,638","8,248","9,584","8,898","11,015","9,021","9,495"
,Cropland Remaining Cropland: CO2 Emissions from Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,099","4,225","4,342","4,514"
,Cropland Remaining Cropland: CO2 Emissions from Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,909","4,139"
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,"1,055",975,932,996,943,"1,053",898,"1,072","1,123","1,197","1,271","1,179","1,034","1,014","1,151","1,101",890,"1,029","1,001","1,024","1,022",926,812,770,842
,CH4,131,146,66,37,232,32,152,20,86,201,333,175,480,265,480,397,334,492,319,282,131,265,443,294,294
,Forest Land Remaining Forest Land: Non-CO2 Emissions from Forest Fires,131,146,66,37,232,31,152,20,85,201,333,175,480,264,480,397,334,492,319,282,131,265,443,294,294
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,12,13,9,8,20,8,16,8,11,19,27,19,36,24,36,31,28,37,27,25,17,25,34,26,26
,Forest Land Remaining Forest Land: Non-CO2 Emissions from Forest Fires,7,8,4,2,13,2,8,1,5,11,18,10,26,15,27,22,18,27,18,16,7,15,24,16,16
,Settlements Remaining Settlements: N2O Fluxes from Settlement Soilsc,5,5,5,6,7,6,6,6,5,6,7,8,8,8,8,8,8,8,8,8,8,8,9,8,8
,Forest Land Remaining Forest Land: N2O Fluxes from Forest Soilsd,+ ,+ ,+ ,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Net CO2 flux is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Settlements Remaining Settlements, and Other.",,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes the effects of net additions to stocks of carbon stored in forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,
,c Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,
,d Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,
