Table 6-51:  N2O Fluxes from Soils in Settlements Remaining Settlements (MMT CO2 Eq. and kt N2O),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Direct N2O Fluxes from Soils,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,1,1,1.1,1.3,1.5,1.3,1.3,1.3,1.2,1.2,1.5,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.8,1.7,1.8,1.9,1.9,1.8,1.8
,kt N2O,3,3,4,4,5,4,4,5,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,Indirect N2O Fluxes from Soils,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,kt N2O,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,1.4,1.4,1.5,1.7,1.9,1.7,1.8,1.8,1.6,1.7,2,2.3,2.3,2.4,2.4,2.3,2.4,2.5,2.3,2.2,2.4,2.5,2.5,2.4,2.4
,kt N2O,5,5,5,6,7,6,6,6,5,6,7,8,8,8,8,8,8,8,8,8,8,8,9,8,8
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
