Table 6-6:  Managed and Unmanaged Land Area by Land-Use Categories for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use Categories,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Managed Lands,"890,019","890,019","890,019","890,019","890,019","890,019","890,019","890,019","890,017","890,016","890,016","890,016","890,016","890,016",890016.2227,"890,016","890,016","890,016","890,016",890016.3227,"890,017","890,017","890,017","890,017","890,017"
,Forest Land,"285,837","286,227","286,626","287,027","287,427","287,857","288,283","288,711","289,140","289,570","289,988","290,406","290,831","291,256",291681.0399,"292,106","292,538","292,947","293,358",293766.2895,"294,175","294,585","294,988","294,988","294,988"
,Croplands,"174,678","174,598","174,412","173,865","173,542","173,084","172,816","172,467","169,953","169,119","169,179","168,923","168,649","168,019",166521.832,"166,064","165,578","165,267","164,817",164338.0241,"163,745","163,745","163,752","163,752","163,752"
,Grasslands,"326,526","325,915","325,400","325,212","324,825","324,327","323,634","323,099","324,719","324,205","324,059","323,644","323,288","323,040",323749.8779,"323,239","322,886","322,424","322,068",321835.2366,"321,717","321,421","321,118","321,118","321,118"
,Settlements,"33,420","33,815","34,181","34,686","35,176","35,708","36,234","36,726","37,287","38,174","38,143","38,522","38,870","39,428",39936.79555,"40,450","40,927","41,397","41,864",42266.79111,"42,645","42,645","42,648","42,648","42,648"
,Wetlands,"45,361","45,199","45,076","44,924","44,763","44,679","44,588","44,476","44,345","44,259","44,021","43,824","43,639","43,453",43251.26432,"43,004","42,874","42,695","42,572",42428.04063,"42,336","42,223","42,113","42,112","42,113"
,Other Land,"24,197","24,265","24,323","24,304","24,285","24,365","24,463","24,540","24,573","24,689","24,627","24,697","24,739","24,819",24875.41299,"25,154","25,214","25,287","25,338",25381.94075,"25,398","25,398","25,399","25,399","25,399"
,Unmanaged Lands,"46,211","46,211","46,211","46,211","46,211","46,211","46,211","46,211","46,213","46,214","46,214","46,214","46,214","46,214",46213.967,"46,214","46,214","46,214","46,214",46213.867,"46,213","46,213","46,213","46,213","46,213"
,Forest Land,"9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634","9,634",9634.34,"9,634","9,634","9,634","9,634",9634.34,"9,634","9,634","9,634","9,634","9,634"
,Croplands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grasslands,"25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782","25,782",25782.123,"25,782","25,782","25,782","25,782",25782.123,"25,782","25,782","25,782","25,782","25,782"
,Settlements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wetlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Other Land,"10,795","10,795","10,795","10,795","10,795","10,795","10,795","10,795","10,797","10,798","10,798","10,798","10,798","10,798",10797.504,"10,797","10,797","10,797","10,797",10797.404,"10,797","10,797","10,797","10,797","10,797"
,Total Land Areas,"936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230","936,230",936230.1897,"936,230","936,230","936,230","936,230",936230.1897,"936,230","936,230","936,230","936,230","936,230"
,Forest Land,"295,471","295,862","296,261","296,661","297,062","297,491","297,917","298,345","298,775","299,204","299,622","300,041","300,466","300,891",301315.3799,"301,740","302,172","302,581","302,992",303400.6295,"303,810","304,219","304,622","304,622","304,622"
,Croplands,"174,678","174,598","174,412","173,865","173,542","173,084","172,816","172,467","169,953","169,119","169,179","168,923","168,649","168,019",166521.832,"166,064","165,578","165,267","164,817",164338.0241,"163,745","163,745","163,752","163,752","163,752"
,Grasslands,"352,308","351,697","351,182","350,994","350,607","350,109","349,416","348,881","350,501","349,987","349,841","349,426","349,070","348,822",349532.0009,"349,021","348,668","348,206","347,850",347617.3596,"347,499","347,203","346,900","346,900","346,900"
,Settlements,"33,420","33,815","34,181","34,686","35,176","35,708","36,234","36,726","37,287","38,174","38,143","38,522","38,870","39,428",39936.79555,"40,450","40,927","41,397","41,864",42266.79111,"42,645","42,645","42,648","42,648","42,648"
,Wetlands,"45,361","45,199","45,076","44,924","44,763","44,679","44,588","44,476","44,345","44,259","44,021","43,824","43,639","43,453",43251.26432,"43,004","42,874","42,695","42,572",42428.04063,"42,336","42,223","42,113","42,112","42,113"
,Other Land,"34,992","35,060","35,119","35,099","35,080","35,160","35,258","35,335","35,370","35,486","35,424","35,494","35,536","35,617",35672.91699,"35,951","36,011","36,084","36,136",36179.34475,"36,195","36,195","36,196","36,196","36,196"
