Table 6-7:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use & Land-Use Change Categoriesa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Total Forest Land,"285,837","286,227","286,626","287,027","287,427","287,857","288,283","288,711","289,140","289,570","289,988","290,406","290,831","291,256","291,681","292,106","292,538","292,947","293,358","293,766","294,175","294,585","294,988","294,988","294,988"
,FF,"284,642","285,031","285,424","285,794","286,191","286,522","286,944","287,363","287,786","288,213","288,720","289,137","289,556","290,011","290,436","291,098","291,526","292,007","292,419","292,828","293,234","293,644","294,051","294,051","294,051"
,CF,233,230,231,232,230,263,265,267,275,279,246,242,241,239,239,215,205,195,192,191,189,189,183,183,183
,GF,841,841,839,863,867,917,916,920,914,913,863,869,873,845,844,635,646,626,628,631,637,637,638,638,638
,WF,20,22,23,25,27,30,32,33,29,28,27,26,26,25,26,23,25,23,23,22,23,23,23,23,23
,SF,15,15,16,15,14,15,15,14,15,15,14,14,14,14,15,15,17,16,15,16,16,16,15,15,15
,OF,86,88,94,98,99,110,112,113,121,122,118,118,122,121,121,120,120,80,80,78,77,77,77,77,77
,Total Cropland,"174,678","174,598","174,412","173,865","173,542","173,084","172,816","172,467","169,953","169,119","169,179","168,923","168,649","168,019","166,522","166,064","165,578","165,267","164,817","164,338","163,745","163,745","163,752","163,752","163,752"
,CC,"161,960","161,544","161,046","159,272","157,560","156,931","156,331","155,763","152,242","151,133","151,624","151,722","151,756","152,365","152,176","151,903","151,622","152,043","152,289","152,581","152,079","152,079","152,084","152,084","152,084"
,FC,252,245,237,229,223,228,217,211,185,165,147,134,125,116,103,91,87,55,52,50,48,48,49,49,49
,GC,"12,066","12,404","12,707","13,886","15,217","15,379","15,716","15,932","16,935","17,210","16,784","16,440","16,158","14,970","13,729","13,581","13,375","12,699","12,034","11,308","11,215","11,215","11,215","11,215","11,215"
,WC,141,141,144,171,199,202,203,205,219,220,219,219,216,204,184,166,164,149,136,116,114,114,114,114,114
,SC,77,77,83,87,93,91,91,90,98,99,98,102,105,88,76,78,79,83,74,66,72,72,72,72,72
,OC,182,186,195,220,251,252,259,265,274,291,307,307,290,277,254,245,251,237,231,218,217,217,217,217,217
,Total Grassland,"326,526","325,915","325,400","325,212","324,825","324,327","323,634","323,099","324,719","324,205","324,059","323,644","323,288","323,040","323,750","323,239","322,886","322,424","322,068","321,835","321,717","321,421","321,118","321,118","321,118"
,GG,"316,489","315,715","315,002","313,311","311,535","310,704","309,870","309,113","307,195","306,113","305,664","304,913","304,339","304,473","304,388","303,987","303,541","303,413","303,633","303,648","303,284","302,989","302,687","302,688","302,687"
,FG,899,897,891,903,905,928,921,913,"1,529","1,526","1,507","1,503","1,499","1,458","1,458","1,538","1,538","1,500","1,482","1,480","1,481","1,481","1,479","1,479","1,479"
,CG,"8,396","8,478","8,626","9,997","11,262","11,542","11,684","11,874","14,632","15,176","15,462","15,748","15,961","15,654","16,444","16,335","16,413","16,102","15,663","15,499","15,776","15,776","15,776","15,776","15,776"
,WG,283,352,372,396,417,411,416,419,470,475,475,475,472,467,473,437,440,442,353,287,250,250,250,250,250
,SG,53,53,56,64,72,76,80,85,98,106,106,113,119,114,113,115,118,121,119,115,119,119,119,119,119
,OG,406,420,454,540,634,665,663,696,794,808,845,892,898,873,873,827,836,847,818,806,806,806,806,806,806
,Total Wetlands,"45,361","45,199","45,076","44,924","44,763","44,679","44,588","44,476","44,345","44,259","44,021","43,824","43,639","43,453","43,251","43,004","42,874","42,695","42,572","42,428","42,336","42,223","42,113","42,112","42,113"
,WW,"44,649","44,485","44,363","44,130","43,907","43,735","43,558","43,388","43,145","42,958","42,725","42,483","42,259","42,067","41,882","41,785","41,689","41,551","41,450","41,336","41,280","41,167","41,056","41,056","41,056"
,FW,38,39,40,40,40,46,48,49,47,46,43,45,46,47,48,41,39,37,36,36,35,35,35,35,35
,CW,214,233,242,273,297,319,345,362,367,409,406,422,437,425,431,362,350,342,337,331,321,321,321,321,321
,GW,396,375,395,441,476,533,591,629,739,794,794,821,844,860,837,770,750,719,706,683,661,661,661,661,661
,SW,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
,OW,63,65,35,39,40,43,45,46,47,52,52,52,53,53,52,45,45,44,41,40,38,38,38,38,38
,Total Settlements,"33,420","33,815","34,181","34,686","35,176","35,708","36,234","36,726","37,287","38,174","38,143","38,522","38,870","39,428","39,937","40,450","40,927","41,397","41,864","42,267","42,645","42,645","42,648","42,648","42,648"
,SS,"30,632","30,652","30,669","30,657","30,642","30,636","30,634","30,629","30,673","30,668","30,669","30,661","30,654","31,161","31,653","32,188","32,659","33,146","33,700","34,273","34,870","34,870","34,870","34,870","34,870"
,FS,232,243,251,256,261,296,312,322,328,351,318,330,340,333,344,339,341,361,360,364,362,362,365,365,365
