"Table 7-12:  U.S. Pulp and Paper, Meat, Poultry, Vegetables, Fruits and Juices, Ethanol, and Petroleum Refining Production (MMT)",,,,,,,
,,,,,,,
,Year,Pulp and Papera,Meat,Poultry,"Vegetables,  Fruits and Juices",Ethanol,Petroleum  Refining
,,,(Live Weight Killed),(Live Weight Killed),,,
,1990,128.9,27.3,14.6,38.7,2.5,702.4
,1991,129.2,27.9,15.4,40.9,2.6,701.6
,1992,134.5,28.8,16.3,40.5,2.9,710.1
,1993,134.1,28.8,17.0,43.4,3.4,726.0
,1994,139.3,30.0,18.1,47.2,3.8,726.2
,1995,140.9,30.8,18.9,46.9,4.1,735.6
,1996,140.2,30.6,19.9,47.8,3.2,752.8
,1997,145.6,30.5,20.4,48.7,3.8,770.7
,1998,144.0,31.4,20.7,47.6,4.2,783.2
,1999,145.1,32.2,21.8,48.7,4.4,781.3
,2000,142.8,32.1,22.2,50.9,4.8,795.2
,2001,134.3,31.6,22.8,45.0,5.3,794.9
,2002,135.4,32.7,23.5,47.7,6.4,794.4
,2003,133.9,32.3,23.7,44.7,8.4,804.2
,2004,136.6,31.2,24.4,47.8,10.2,821.5
,2005,138.5,31.4,25.1,42.9,11.7,818.6
,2006,138.0,32.5,25.5,42.9,14.6,826.7
,2007,139.6,33.4,26.0,44.7,19.5,827.6
,2008,133.1,34.4,26.5,45.1,27.8,836.8
,2009,120.4,33.8,25.2,46.5,32.7,822.4
,2010,126.7,33.7,25.9,43.2,39.7,848.6
,2011,126.1,33.8,26.2,44.3,41.6,858.8
,2012,124.4,33.8,26.1,45.6,39.5,856.1
,2013,122.8,33.6,26.5,45.1,39.8,878.7
,2014,120.9,32.2,26.9,45.6,42.8,903.9
,a Pulp and paper production is the sum of woodpulp production plus paper and paperboard production.,,,,,,
,Sources: Lockwood-Post (2002); FAO (2016); USDA (2016a); RFA (2016); EIA (2016).,,,,,,
