Table 7-3:  CH4 Emissions from Landfills (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,MSW Landfills,205.3,211.0,215.6,219.8,224.3,228.5,231.8,234.8,238.0,242.4,246.8,252.1,259.6,269.2,278.4,287,295.2,302.9,309.9,315.9,321,325.2,328.6,332,335.4
,Industrial Landfills,12.1,12.3,12.5,12.8,13.1,13.4,13.8,14.1,14.4,14.7,15.0,15.3,15.4,15.6,15.7,15.9,16.0,16.1,16.2,16.3,16.4,16.4,16.5,16.5,16.6
,Recovered,-17.9,-21.5,-26.6,-33.4,-38.5,-48.4,-56.1,-69.9,-84.3,-96.4,-104.6,-115.4,-122.3,-124.9,-132.6,-131.8,-142.7,-148.8,-154.4,-160.6,-179.5,-181.2,-187,-188.2,-187.7
,Oxidizeda,-20,-20.2,-20.2,-19.9,-19.9,-19.4,-19.0,-17.9,-16.8,-16.1,-15.7,-15.2,-15.3,-16.0,-16.2,-17.1,-16.9,-17.0,-17.2,-17.2,-15.8,-16,-15.8,-16,-16.4
,Total,179.6,181.7,181.4,179.2,179.0,174.2,170.6,161.1,151.4,144.7,141.4,136.8,137.4,144.0,145.4,154,151.7,153.1,154.5,154.5,142.1,144.4,142.3,144.3,148
,a Includes oxidation at municipal and industrial landfills. ,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.  Parentheses indicate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
