Table 7-6:  Materials Discarded in the Municipal Waste Stream by Waste Type from 1990 to 2013 (Percent),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Waste Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,Paper and Paperboard,30.0%,27.7%,28.4%,29.7%,29.3%,28.0%,26.6%,28.4%,28.5%,29.8%,28.7%,25.7%,26.3%,24.9%,26.1%,24.7%,23.7%,21.7%,20.5%,14.8%,16.2%,14.8%,14.8%,15.1%
,Glass,6.0%,5.7%,5.9%,6.1%,5.9%,5.5%,5.2%,5.2%,5.5%,5.7%,5.7%,5.8%,5.6%,5.7%,5.8%,5.7%,6.1%,5.5%,5.5%,5.0%,5.1%,5.1%,5.1%,5.0%
,Metals,7.2%,6.8%,6.2%,5.9%,5.7%,5.7%,5.6%,5.8%,6.1%,6.5%,7.1%,6.8%,6.6%,7.2%,7.4%,7.7%,7.7%,7.9%,8.3%,8.0%,8.8%,8.9%,9.0%,9.1%
,Plastics,9.6%,9.9%,10.2%,10.5%,10.5%,10.2%,10.7%,11.6%,12.1%,13.0%,13.7%,13.6%,14.7%,15.0%,15.9%,15.9%,15.9%,16.4%,16.7%,15.8%,17.4%,17.8%,17.6%,17.7%
,Rubber and Leather,3.1%,3.1%,3.1%,3.0%,3.3%,3.1%,3.2%,3.3%,3.4%,3.1%,3.3%,3.1%,3.1%,3.4%,3.5%,3.6%,3.6%,3.6%,3.7%,3.7%,3.7%,3.8%,3.8%,3.9%
,Textiles,2.9%,3.1%,3.3%,3.4%,3.7%,3.7%,3.9%,4.1%,4.3%,4.5%,4.7%,4.8%,5.0%,5.2%,5.3%,5.6%,5.7%,5.9%,6.4%,6.3%,6.7%,6.8%,7.4%,7.7%
,Wood,6.9%,6.5%,6.9%,7.0%,6.2%,6.6%,5.9%,6.3%,6.6%,6.6%,7.0%,6.8%,6.9%,7.1%,7.2%,7.5%,7.3%,7.5%,7.9%,7.7%,8.1%,8.2%,8.2%,8.0%
,Othera,1.4%,1.5%,1.5%,1.6%,1.6%,1.7%,1.7%,1.7%,1.7%,1.8%,1.7%,1.9%,1.9%,1.7%,1.7%,1.8%,1.8%,1.9%,2.0%,1.9%,2.0%,2.0%,2.0%,2.0%
,Food Scrapsb,13.6%,7.8%,12.0%,7.8%,12.0%,12.1%,12.2%,13.7%,13.9%,14.1%,16.6%,15.0%,15.5%,15.9%,16.4%,18.5%,17.3%,18.2%,19.9%,19.1%,21.0%,21.4%,21.1%,21.1%
,Yard Trimmingsc,17.6%,17.3%,16.9%,15.1%,13.4%,11.8%,10.0%,9.3%,8.7%,7.7%,8.4%,6.9%,8.7%,7.5%,6.8%,7.0%,7.0%,6.7%,6.9%,7.6%,8.6%,8.8%,8.7%,8.1%
,Miscellaneous Inorganic Wastes,1.7%,1.7%,1.7%,1.7%,1.8%,1.8%,1.8%,1.9%,1.9%,1.9%,2.0%,2.0%,2.0%,2.1%,2.1%,2.1%,2.1%,2.1%,2.2%,2.2%,2.3%,2.4%,2.4%,2.4%
,"a Includes electrolytes in batteries and fluff pulp, feces, and urine in disposable diapers. Details may not add to totals due to rounding (EPA 2015c).",,,,,,,,,,,,,,,,,,,,,,,,
,"b Data for food scraps were estimated using sampling studies in various parts of the country in combination with demographic data on population, grocery store sales, restaurant sales, number of employees, and number of prisoners, students, and patients in institutions (EPA 2015c).",,,,,,,,,,,,,,,,,,,,,,,,
,"c Data for yard trimmings were estimated using sampling studies, population data, and published sources documenting legislation affecting yard trimmings disposal in landfills (EPA 2015c).",,,,,,,,,,,,,,,,,,,,,,,,
