Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,CO2,-8.6,-9.2,-8.7,-8.4,-8.7,-8.9,-8.6,-8.9,-9.8,-9.5,-10.0,-11.1,-11.6,-11.1,-11.6,-11.2,-11.8,-13.5,-13.8,-12.3,-15.8,-9.4,-9.1,-2.6,-10.2
,Fossil Fuel Combustion,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.5,-0.5,-1.8,-3.3,-3.3,-3.5,-8.9,-3.7,-1.3,-0.1,-1.1
,Electricity Generation,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-1.6,-0.1
,Transportation,NC,NC,NC,NC,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.6,-0.6,-0.6,-0.7,-0.8,-2.0,-3.5,-3.8,-3.3,-3.7,-3.9,-4,-5.4,-1.5
,Industrial,+,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.3,+,-0.1,-0.8,-1.3,-5,-0.2
,Residential,NC,NC,NC,NC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,+,+,+,+,0.1,-0.1,-0.1,-0.4,-0.6,0.1,+
,Commercial,NC,NC,NC,NC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,0.1,+,-0.1,-0.3,-0.4,0.3,+
,U.S. Territories,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-4.8,1.7,5,11.6,0.6
,Non-Energy Use of Fuels,0.5,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.2,-0.5,0.2,0.7,1.8,0.1
,Natural Gas Systems,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.6,0.1
,Cement Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Lime Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Other Process Uses of Carbonates,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,6,0.2
,Glass Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2,+
,Soda Ash Production and Consumption,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Carbon Dioxide Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,3.2,3.3,3.2,3.3,0.5
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,-0.7,+
,Titanium Dioxide Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,+
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
