"Table 9-2:  Revisions to Total Net Flux from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,Forest Land Remaining Forest Land,-82.8,-95.7,-104.5,-103.9,-66,-51,-63.9,-85.4,-124.7,-184.6,-175.6,-89.6,17.8,101.9,155.8,117.9,126.2,143.5,121.7,54.6,20.9,23.9,29.6,39.1,-11.4
,Changes in Forest Carbon Stocka,-84.1,-98.2,-101.7,-102.1,-65.2,-46.5,-53.6,-83,-123.9,-177.5,-168.4,-85.3,15.4,102,142,115.2,143.1,148,123.5,52.6,23.4,37.2,37.3,36.6,-8.9
,Non-CO2 Emissions from Forest Fires,1.3,2.4,-2.8,-1.9,-0.8,-4.4,-10.4,-2.3,-0.8,-7.1,-7.2,-4.3,2.4,-0.1,13.8,2.7,-17,-4.5,-1.8,2,-2.5,-13.2,-7.7,2.5,-2.6
,N2O Fluxes from Forest Soilsb,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Forest Land,NC*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC*,NC,NC,NC,NC,NC*,NC*,NC*,NC*,NC*
,Changes in Forest Carbon Stock,NC*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC*,NC,NC,NC,NC,NC*,NC*,NC*,NC*,NC*
,Cropland Remaining Cropland,30.9,30,24.8,25.6,21.2,15.2,13.6,12.5,14.6,9,10.6,5.9,1.9,5.2,11,13.9,15.6,15.3,21.6,28.9,27.7,13.3,14,12.5,16.5
,Changes in Agricultural Carbon Stockc,30.9,30,24.8,25.6,21.2,15.2,13.6,12.5,14.6,9,10.6,5.9,1.9,5.2,11,13.9,15.6,15.3,21.6,28.9,27.7,13.3,13.8,14.2,16.5
,CO2 Emissions from Liming,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,0.2,-2,-0.1
,CO2 Emissions from Urea Fertilization,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.3,+
,Land Converted to Cropland,41.2,39.9,36.6,32.8,31.9,37.2,35.9,34.2,32.1,28.6,24.8,21.6,18.3,19.1,14.8,12.3,13.7,8.7,8.8,6.7,7.5,5.4,6,6,21.8
,Changes in Agricultural Carbon Stockc,41.2,39.9,36.6,32.8,31.9,37.2,35.9,34.2,32.1,28.6,24.8,21.6,18.3,19.1,14.8,12.3,13.7,8.7,8.8,6.7,7.5,5.4,6,6,21.8
,Grassland Remaining Grassland,-11,-2.8,-2.7,-3.4,-7,-12.3,3.1,-4.4,-3.5,-1.3,13.5,4.4,6.4,6.3,-7.2,-7.5,4.5,-9.2,-18.5,-20.6,-19,-8.6,-8,-8.3,-4.9
,Changes in Agricultural Carbon Stockc,-11,-2.8,-2.7,-3.4,-7,-12.3,3.1,-4.4,-3.5,-1.3,13.5,4.4,6.4,6.3,-7.2,-7.5,4.5,-9.2,-18.5,-20.6,-19,-8.6,-8,-8.3,-4.9
,Land Converted to Grassland,46.5,45.3,43.8,43.4,45.3,48.5,47.5,46,56,55.6,53.4,52.9,51,50.1,49.1,52.1,52.3,48.3,47.2,47.4,48.2,48.7,49.1,49.1,49
,Changes in Agricultural Carbon Stockc,46.5,45.3,43.8,43.4,45.3,48.5,47.5,46,56,55.6,53.4,52.9,51,50.1,49.1,52.1,52.3,48.3,47.2,47.4,48.2,48.7,49.1,49.1,49
,Wetlands Remaining Wetlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Peatlands Remaining Peatlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Settlements Remaining Settlements,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Changes in Carbon Stocks in Urban Trees,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,N2O Fluxes from Settlement Soilsd,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Other,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,0.5,0.5,0.9,0.1
,Landfilled Yard Trimmings and Food Scraps,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,0.5,0.5,0.9,0.1
,LULUCF Emissionse,1.3,2.4,-2.8,-1.9,-0.8,-4.4,-10.4,-2.3,-0.8,-7.1,-7.2,-4.3,2.4,-0.1,13.8,2.7,-17,-4.5,-1.8,2,-2.5,-13.2,-7.4,0.8,
,Net Change in LULUCF Total Net Fluxf,22.8,13.4,0.2,-4.5,25.4,41.1,45.6,4.3,-25.7,-86.6,-67,-1.6,92.1,181.9,208.9,185.2,228.9,210.7,182.1,114.7,87.3,96.1,98.4,98.1,
,LULUCF Sector Totalg,24.1,15.9,-2.6,-6.3,24.6,36.6,35.3,1.9,-26.4,-93.8,-74.2,-5.9,94.5,181.8,222.6,187.9,212,206.2,180.3,116.7,84.9,82.9,90.9,98.9,
