Table ES-6:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Electric Power Industry,1864.8,1860.7,1875.6,1950.6,1975.1,1991.4,2063.9,2129.7,2215.6,2229.8,2334.8,2296.3,2312.6,2344.0,2377.8,2443.9,2387.8,2454.1,2400.6,2185.7,2300.5,2198.1,2060.7,2078,2080.7
,Transportation,1551.3,1505.6,1559.1,1600.6,1654.4,1695.2,1748.6,1774.5,1817.6,1874.7,1923.2,1907.6,1947.9,1936.8,1981.4,1999.6,1993.5,1994.2,1897.3,1819.0,1827.4,1799.6,1780.4,1789.9,1810.3
,Industry,1620.9,1590.3,1626.1,1597.5,1623.7,1640.0,1672.6,1668.6,1636.2,1598.9,1579.0,1521.0,1502.5,1477.7,1525.4,1486.2,1517.7,1509.8,1452.6,1304.9,1394.5,1399,1392.1,1448.2,1461.7
,Agriculture,563.4,554.3,565.4,583.8,567.3,589.4,594.1,582.4,612.7,582.9,584.3,590.2,597.9,598.5,625.8,600.2,616.3,631.6,615.9,623.1,631.1,633.7,635.4,626.3,625.4
,Commercial,418.1,426.5,424.1,422.0,425.1,424.5,431.1,422.4,396.3,394.6,405.2,395.9,398.3,417.2,419.5,420.3,406.3,422.4,433.3,437.4,425.5,432.1,408.5,437.5,453.9
,Residential,344.9,354.2,360.8,372.4,363.1,367.3,398.8,380.3,345.9,365.7,386.5,376.7,373.9,392.4,380.4,370.4,335.3,357.8,367.1,358.6,361.2,357.6,318.4,372.6,393.7
,U.S. Territories,33.7,39.3,37.5,39.4,41.6,40.7,40.7,42.2,42.5,43.8,46.1,53.3,52.2,58.2,59.7,58.2,59.2,52.4,49.7,47.6,45.3,45.4,47.6,47.5,44.7
,Total Emissions,6397.1,6330.9,6448.7,6566.4,6650.3,6748.5,6949.8,7000.0,7066.8,7090.4,7259.0,7140.9,7185.3,7225.0,7370.0,7378.8,7316.1,7422.2,7216.4,6776.2,6985.5,6865.4,6643,6800,6870.5
,LULUCF Sector Totala,-738,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683.0,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762,-749.7,-759.6,-762.5
,Net Emissions (Sources and Sinks),5659.2,5591.6,5703.1,5837.2,5907.2,6046.1,6245.0,6302.5,6384.5,6404.7,6576.0,6458.5,6522.5,6547.6,6690.3,6680.3,6596.7,6731.1,6529.7,6042.6,6219,6103.4,5893.3,6040.4,6108
,Note: Total emissions presented without LULUCF. Total net emissions presented with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,"a The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding.  Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,
